League,Location,Season,BestOddsURL
EC,http://www.football-data.co.uk/mmz4281/1617/EC.csv,16,http://www.oddschecker.com/football/english/non-league/national-league
SC0,http://www.football-data.co.uk/mmz4281/1617/SC0.csv,16,http://www.oddschecker.com/football/scottish/premiership
E0,http://www.football-data.co.uk/mmz4281/1617/E0.csv,16,http://www.oddschecker.com/football/english/premier-league
E1,http://www.football-data.co.uk/mmz4281/1617/E1.csv,16,http://www.oddschecker.com/football/english/championship
E2,http://www.football-data.co.uk/mmz4281/1617/E2.csv,16,http://www.oddschecker.com/football/english/league-1
E3,http://www.football-data.co.uk/mmz4281/1617/E3.csv,16,http://www.oddschecker.com/football/english/league-2
I1,http://www.football-data.co.uk/mmz4281/1617/I1.csv,16,http://www.oddschecker.com/football/italy/serie-a
I2,http://www.football-data.co.uk/mmz4281/1617/I2.csv,16,http://www.oddschecker.com/football/italy/serie-b
SP1,http://www.football-data.co.uk/mmz4281/1617/SP1.csv,16,http://www.oddschecker.com/football/spain/la-liga-primera
SP2,http://www.football-data.co.uk/mmz4281/1617/SP2.csv,16,http://www.oddschecker.com/football/spain/la-liga-segunda
D1,http://www.football-data.co.uk/mmz4281/1617/D1.csv,16,http://www.oddschecker.com/football/germany/bundesliga
D2,http://www.football-data.co.uk/mmz4281/1617/D2.csv,16,http://www.oddschecker.com/football/germany/bundesliga-2
F1,http://www.football-data.co.uk/mmz4281/1617/F1.csv,16,http://www.oddschecker.com/football/france/ligue-1
F2,http://www.football-data.co.uk/mmz4281/1617/F2.csv,16,http://www.oddschecker.com/football/france/ligue-2
N1,http://www.football-data.co.uk/mmz4281/1617/N1.csv,16,http://www.oddschecker.com/football/other/netherlands/eredivisie
B1,http://www.football-data.co.uk/mmz4281/1617/B1.csv,16,http://www.oddschecker.com/football/other/belgium/jupiler-pro-league
SC1,http://www.football-data.co.uk/mmz4281/1617/SC1.csv,16,http://www.oddschecker.com/football/scottish/championship
G1,http://www.football-data.co.uk/mmz4281/1617/G1.csv,16,http://www.oddschecker.com/football/other/greece/superleague
P1,http://www.football-data.co.uk/mmz4281/1617/P1.csv,16,http://www.oddschecker.com/football/other/portugal/primeira-liga
T1,http://www.football-data.co.uk/mmz4281/1617/T1.csv,16,http://www.oddschecker.com/football/other/turkey/super-lig
