League,Location,Season
P1,http://www.football-data.co.uk/mmz4281/1617/P1.csv,16
P1,http://www.football-data.co.uk/mmz4281/1516/P1.csv,15
P1,http://www.football-data.co.uk/mmz4281/1415/P1.csv,14
P1,http://www.football-data.co.uk/mmz4281/1314/P1.csv,13
P1,http://www.football-data.co.uk/mmz4281/1213/P1.csv,12
P1,http://www.football-data.co.uk/mmz4281/1112/P1.csv,11
P1,http://www.football-data.co.uk/mmz4281/1011/P1.csv,10
T1,http://www.football-data.co.uk/mmz4281/1617/T1.csv,16
T1,http://www.football-data.co.uk/mmz4281/1516/T1.csv,15
T1,http://www.football-data.co.uk/mmz4281/1415/T1.csv,14
T1,http://www.football-data.co.uk/mmz4281/1314/T1.csv,13
T1,http://www.football-data.co.uk/mmz4281/1213/T1.csv,12
T1,http://www.football-data.co.uk/mmz4281/1112/T1.csv,11
T1,http://www.football-data.co.uk/mmz4281/1011/T1.csv,10
G1,http://www.football-data.co.uk/mmz4281/1617/G1.csv,16
G1,http://www.football-data.co.uk/mmz4281/1516/G1.csv,15
G1,http://www.football-data.co.uk/mmz4281/1415/G1.csv,14
G1,http://www.football-data.co.uk/mmz4281/1314/G1.csv,13
G1,http://www.football-data.co.uk/mmz4281/1213/G1.csv,12
G1,http://www.football-data.co.uk/mmz4281/1112/G1.csv,11
G1,http://www.football-data.co.uk/mmz4281/1011/G1.csv,10
